GRUPO,LAB,DESCLAB,MEDICAMENTO,DESCRIÇÃO,CODBARRAS,ESTOQUE,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01,2014-12-01,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2012-01-01,2012-02-01,2012-03-01,2012-04-01,2012-05-01,2012-06-01,2012-07-01,2012-08-01,2012-09-01,2012-10-01,2012-11-01,2012-12-01,2011-01-01,2011-02-01,2011-03-01,2011-04-01,2011-05-01,2011-06-01,2011-07-01,2011-08-01,2011-09-01,2011-10-01,2011-11-01,2011-12-01
GENERICOS,466,EMS GENÉRICO                    ,221434,"CETOTIFENO - 0,2MG XPE FR 120ML+CM",7896004708614,1,2,1,0,0,2,1,0,0,0,1,1,1,2,1,2,0,6,6,1,2,1,0,1,0,0,0,0,0,3,1,4,2,5,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GENERICOS,314,MEDLEY                        ,213529,CETOTIFENO - XPE FR 120ML,7896422505215,0,2,5,1,4,0,0,0,0,0,0,0,0,4,5,2,0,7,5,5,4,0,2,3,6,4,5,1,5,4,4,9,7,1,5,6,2,3,1,9,2,1,7,5,8,2,6,1,3,1,2,1,6,10,12,10,7,7,5,1,1
TARJADO,180,UNIAO QUIMICA                 ,235178,CETROLAC - SOL OFT FR GTS 5ML,7896006290070,1,2,7,3,3,3,0,0,0,0,0,0,0,4,7,5,5,0,6,9,8,0,0,0,0,6,7,5,8,6,12,14,13,4,10,6,8,2,2,19,7,14,11,8,7,6,12,17,8,0,0,0,0,0,0,0,4,3,5,7,7
SEM TARJA,492,SANOFI-AVENTIS                ,205905,CEWIN - 1G CX 10 COMP EFV,7897595900685,0,0,1,5,8,0,2,2,2,0,6,1,0,2,3,1,0,2,6,1,2,2,1,1,2,7,4,2,5,2,4,5,5,0,3,1,2,5,3,3,1,2,3,2,0,3,1,3,1,0,3,4,6,3,4,3,5,5,1,0,1
SEM TARJA,492,SANOFI-AVENTIS                ,91200,CEWIN - 200MG SOL OR FR GTS 20ML,7897595900708,12,6,2,6,6,2,13,12,10,12,5,5,2,7,7,6,5,18,10,10,14,7,10,5,10,5,11,12,11,18,25,16,12,15,14,6,16,5,6,7,16,16,15,14,8,7,6,6,8,5,8,11,12,30,17,12,11,9,10,12,6
SEM TARJA,492,SANOFI-AVENTIS                ,210922,CEWIN - 500MG CX 10 COMP EFV,7897595901514,3,0,1,5,2,2,1,1,0,1,0,1,2,1,1,5,0,1,8,3,0,2,4,0,1,2,4,3,5,7,7,5,7,2,4,2,3,0,2,0,0,3,0,4,1,0,2,3,3,2,3,1,1,6,2,3,1,1,1,5,0
SEM TARJA,492,SANOFI-AVENTIS                ,91197,CEWIN - 500MG CX 30 COMP,7897595900715,58,14,12,21,20,4,28,16,22,17,17,14,18,19,25,31,17,20,28,27,27,7,28,13,12,17,25,34,22,50,28,31,36,25,31,27,22,10,33,25,19,29,18,24,36,18,30,16,16,30,19,25,37,45,33,24,34,17,21,37,27
TARJADO,66,ELI LILLY                     ,218490,CIALIS - 20MG CX 2 COMP,7896382703614,1,0,1,2,0,0,2,0,6,2,2,1,4,5,2,4,2,3,4,7,4,3,3,3,1,16,13,10,10,13,5,10,5,12,9,6,4,4,3,8,4,7,5,6,11,8,10,14,9,7,9,7,16,11,11,5,7,5,2,3,4
TARJADO,66,ELI LILLY                     ,218491,CIALIS - 20MG CX 4 COMP,7896382703973,2,2,3,4,3,0,1,1,3,5,3,1,2,9,10,4,0,5,8,7,9,7,5,7,4,7,7,7,3,4,4,1,9,3,4,12,8,4,10,6,11,7,7,5,8,14,6,7,7,4,9,4,4,8,8,8,11,2,11,2,8
TARJADO,66,ELI LILLY                     ,224330,CIALIS - 20MG CX 8 COMP,7896382705397,1,0,2,0,2,0,0,2,0,1,1,2,3,0,0,1,0,0,1,0,0,2,2,0,2,0,0,4,0,2,1,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TARJADO,66,ELI LILLY                     ,231778,CIALIS DIARIO - 5MG CX 28 COMP,7896382706066,13,5,6,6,6,5,6,6,3,7,5,8,3,10,4,7,1,5,14,10,2,9,7,2,10,3,1,2,6,8,8,10,3,10,7,14,9,0,0,0,1,0,1,4,0,3,5,4,3,0,0,0,0,0,0,0,0,0,0,0,0
TARJADO,167,MANTECORP                     ,229899,CIBRATO - 100MG CX 30 COMP,7891142136985,1,1,0,1,2,0,1,0,0,0,1,1,0,2,2,2,2,3,2,2,1,0,2,0,0,0,0,0,3,1,2,3,2,3,2,1,4,2,3,4,1,0,0,0,1,0,1,0,0,2,3,2,0,1,3,8,5,6,2,4,3
TARJADO,180,UNIAO QUIMICA                 ,221083,"CICLO 21 - 0,15+0,03MG CX 21 COMP",7896006234067,3,7,1,2,4,1,4,3,6,4,5,3,3,0,1,1,0,1,0,1,0,2,1,2,3,3,4,1,1,1,1,0,1,4,1,0,2,0,0,0,0,0,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GENERICOS,99,EUROFARMA                     ,225819,CICLOBENZAPRINA - 10MG CX 15 COMP,7891317446772,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,1,1,1,0,0,1,0,1,0,0,1,0,2,4,2,2,1,1,0,0,0,0,1,0,1,2,0,0,1,0,0,2,4,1,0,2,0,1,1,0,0,0
GENERICOS,30,BIOSINTETICA,230063,CICLOBENZAPRINA - 10MG CX 30 COMP,7896181901341,2,4,2,0,2,3,6,2,2,2,4,1,1,6,6,3,2,7,1,2,0,3,6,3,1,2,2,2,2,6,3,9,5,3,5,7,4,4,4,4,6,3,2,2,5,1,3,2,2,2,3,3,4,2,4,1,3,4,0,1,4
GENERICOS,99,EUROFARMA                     ,225818,CICLOBENZAPRINA - 5MG CX 15 COMP,7891317446819,1,0,0,1,2,0,2,1,0,1,1,1,0,3,2,1,0,1,3,4,1,1,1,0,1,1,2,4,3,6,2,3,2,3,2,1,4,4,0,1,2,5,2,4,5,5,5,0,0,2,4,2,1,4,1,2,1,0,0,0,2
GENERICOS,30,BIOSINTETICA,230061,CICLOBENZAPRINA - 5MG CX 30 COMP,7896181901198,1,0,2,1,2,0,0,4,2,5,4,1,6,3,1,3,0,3,2,4,2,1,3,2,2,3,1,3,4,10,6,3,3,2,2,3,2,1,2,1,4,7,6,6,1,3,2,5,1,1,2,1,1,1,1,4,1,1,1,1,1
GENERICOS,314,MEDLEY                        ,222907,CICLOPIROX OLAMINA - 10MG SOL TOP FR GTS 15ML,7896422512145,0,2,3,2,0,0,0,0,0,0,0,0,0,8,18,3,3,0,0,1,6,3,2,4,5,6,4,8,15,5,4,4,8,5,5,8,3,5,4,4,5,6,2,3,4,3,11,14,1,2,4,4,5,1,5,4,7,2,9,3,5
GENERICOS,314,MEDLEY                        ,222828,CICLOPIROX OLAMINA-10MG CREME DERM BG 20G,7896422512169,1,2,0,2,1,0,1,0,2,2,2,1,1,1,3,1,1,2,1,0,4,1,0,0,1,1,1,1,5,1,1,2,1,1,1,0,1,2,4,2,2,2,1,3,2,0,2,2,4,1,0,1,0,3,1,3,3,1,1,4,2
PSICOTROPICO,317,ALLERGAN                      ,20516,CICLOPLEGICO - SOL FR 5ML,7897316801277,3,0,0,0,9,0,10,0,6,8,11,0,3,8,18,2,0,10,9,10,12,14,6,1,10,7,15,7,17,17,0,16,15,11,14,10,11,1,2,0,2,10,10,12,11,8,5,2,3,0,11,3,8,1,1,0,1,0,0,1,0
TARJADO,166,BAYER SCHERING                      ,235581,CICLOPRIMOGYNA - CX 21 DRG,7891106905886,1,0,0,1,0,0,0,3,1,2,0,2,0,3,6,2,1,2,6,3,7,5,7,3,1,8,7,10,8,9,12,4,5,7,5,5,5,3,2,8,8,6,2,10,5,5,7,7,7,0,0,0,0,0,0,0,8,5,12,3,5
TARJADO,8,ALCON                         ,232851,"CILODEX - 0,3+0,1% POM OFT BG 3,5G",7896548198308,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,4,0,0,1,1,1,0,0,0,2,2,1,1,1,1,2,1,1,2,3,2,1,4,2,2,4,1,1,1,2,2,2,8,6,4,10,8,10,16,0,2,1,3,5
TARJADO,8,ALCON                         ,212322,CILODEX - 3+1MG SUS OFT GTS FR 5ML,7896548161746,0,3,2,1,2,1,0,2,0,0,1,0,0,1,4,3,0,2,0,2,3,2,0,3,0,2,3,4,1,2,2,1,2,3,2,3,2,2,3,2,4,0,0,2,0,3,1,4,3,10,24,40,8,16,8,10,2,7,2,3,3
GENERICOS,99,EUROFARMA                     ,229886,CILOSTAZOL-100MG CX 60 COMP,7891317452230,1,3,0,0,1,0,2,3,0,0,0,2,0,2,0,1,1,1,0,2,0,2,0,1,0,1,1,3,4,1,2,3,4,2,3,1,0,3,2,1,2,4,2,2,2,2,1,4,1,0,2,3,2,5,2,1,1,2,1,3,2
GENERICOS,99,EUROFARMA                     ,229885,CILOSTAZOL-50MG CX 60 COMP,7891317452254,2,2,1,1,1,1,2,2,2,1,0,1,1,4,2,0,0,0,1,2,2,2,2,1,3,4,3,5,4,1,2,6,1,3,3,5,3,3,3,5,3,6,0,1,1,1,3,0,3,4,3,4,0,2,1,5,0,2,1,1,2
SEM TARJA,48,CIMED                         ,214982,CIMEGRIPE - 400MG CX 20 CAP,7896523200576,95,22,33,38,35,19,51,48,25,25,16,15,19,48,36,34,17,84,68,73,70,57,42,35,32,36,25,49,70,64,73,96,69,63,76,34,37,0,0,0,0,0,72,99,60,36,48,36,20,0,0,0,0,0,0,0,0,0,0,0,0
TARJADO,4,ACHE                          ,240364,CIPIDE - 100MG CX 30 COMP,7896658019562,6,6,7,8,6,1,10,8,5,8,9,4,2,4,3,5,0,6,7,3,4,2,4,6,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TARJADO,166,BAYER SCHERING                      ,96571,CIPRO - 500MG CX 14 COMP,7891106001045,1,0,4,1,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,1,0,0,1,0,0,2,0,1,0,1,0,0,1,3,0,0,0,1,2,0,0,0,2,2,0,0,2,2,0,0
TARJADO,166,BAYER SCHERING                      ,221571,CIPRO XR - 1000MG CX 7 COMP,7891106005630,1,0,2,1,0,0,2,0,1,0,0,2,0,0,2,0,0,1,0,3,0,0,0,0,0,2,1,1,1,0,0,1,1,1,1,0,0,0,0,1,3,0,0,2,1,3,1,0,0,2,6,14,10,8,4,0,1,1,0,3,0
TARJADO,166,BAYER SCHERING                      ,221570,CIPRO XR - 500MG CX 3 COMP,7891106005623,0,0,0,1,3,0,0,0,0,0,0,0,0,4,0,0,4,0,0,1,0,3,0,0,0,0,2,0,1,1,5,0,0,3,1,3,1,2,3,3,1,1,3,2,0,1,3,2,2,0,0,0,0,0,2,4,0,1,0,0,0
GENERICOS,161,SANDOZ                        ,215157,CIPROFLOXACINO - 500MG CX 14 COMP,7897595602404,40,19,3,32,19,6,28,21,13,24,16,22,20,11,24,13,1,34,16,28,20,20,25,21,16,21,12,14,16,12,8,8,8,12,9,21,18,0,0,0,0,11,16,16,14,18,18,18,9,0,0,0,0,0,0,0,0,0,0,0,0
PSICOTROPICO,99,EUROFARMA                     ,220465,CITALOPRAM - 20MG CX 28 COMP,7891317422011,0,0,5,4,0,0,0,0,0,0,0,4,1,8,18,12,9,12,13,5,4,12,1,3,0,16,18,10,21,13,5,6,16,14,12,7,7,12,15,10,12,8,15,17,19,8,16,22,18,28,49,56,50,40,41,50,44,55,33,29,17
PSICOTROPICO,30,BIOSINTETICA,226273,CITALOPRAM - 20MG CX 28 COMP,7896181911715,0,4,2,0,0,2,3,0,4,0,8,9,9,0,10,7,8,9,6,2,5,6,4,4,0,1,3,5,0,1,0,0,0,4,1,5,0,0,4,6,2,0,3,0,0,2,7,4,2,2,2,4,7,0,2,3,9,6,9,3,14
PSICOTROPICO,161,SANDOZ                        ,219244,CITALOPRAM - 20MG CX 30 COMP,7897595602954,16,8,3,17,14,9,8,17,8,16,6,9,7,18,12,10,0,7,7,18,21,9,20,18,13,25,14,29,12,21,26,21,18,29,22,17,19,17,25,43,23,43,32,21,27,24,21,18,16,0,0,0,0,0,0,0,0,0,14,28,13
INJETAVEL,126,MERCK                         ,93980,CITONEURIN INJ (FRAÇAO) - 1.000MCG INJ,7891721020520,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,4,0,0,7,0,0,3,0,0,1,0,3,0,0,0,0,0,0,0,0,11,15,0,6,0,0,0,0,0,0,0,0,0,0,0,0
INJETAVEL,126,MERCK                         ,93998,CITONEURIN INJ (FRACAO) - 5.000MCG INJ,7891721020506,0,6,0,0,0,0,6,18,6,21,6,15,20,25,9,21,16,24,16,32,33,7,20,15,21,15,14,38,26,8,8,31,25,13,23,18,22,11,39,32,18,12,27,31,32,0,27,20,24,42,15,2,9,21,2,7,18,12,15,4,5
PSICOTROPICO,564,MOMENTA                       ,240297,CITTA - 20MG CX 28 COMP,7891317425777,6,8,4,6,7,2,4,3,2,4,7,2,4,4,7,4,4,9,8,8,3,12,8,5,2,13,5,8,8,9,4,15,7,12,11,12,6,17,8,12,9,7,6,2,5,5,9,3,8,13,26,13,31,19,11,13,21,11,17,6,7
TARJADO,167,MANTECORP                     ,226734,CIZAX  - 10MG 30CPR,7891142128836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,2,0,1,1,0,0,0,0,1,2,1,0,0,0,0,1,0,2,0,1
TARJADO,167,MANTECORP                     ,226732,CIZAX - 5MG CX 30 COMP,7891142128812,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,1,3,0,3,1,1,1,3,2,4,1,1,2,0,2,1,2,7,10,9,3,3,4
TARJADO,518,GERMED PHARMA                 ,229978,CLAQUINONA - 40MG CREME BG 30G,7896004726267,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,1,2,0,0,0,0,0,0,0,1,1,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TARJADO,518,GERMED PHARMA                 ,229979,CLAQUINONA - 40MG GEL BG 30G,7896004726274,1,0,1,0,1,1,0,0,1,0,1,1,1,3,0,0,0,0,2,0,0,1,1,0,3,0,0,0,2,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEM TARJA,8,ALCON                         ,21970,"CLARIL - 0,25+3MG SOL FR OFT GTS 15ML",7896548113479,0,6,4,7,6,0,5,4,3,5,5,2,4,9,4,6,0,7,7,6,5,8,5,6,5,8,9,9,11,12,4,10,7,5,7,4,12,8,8,8,6,2,12,4,5,5,6,6,6,11,11,14,15,7,11,8,6,10,10,4,4
SEM TARJA,108,SCHERING-PLOUGH               ,236079,CLARITIN - 10MG CX 12 COMP,7891142129161,2,0,0,1,2,1,8,4,5,4,1,2,5,1,1,1,0,1,2,2,0,0,0,2,0,1,0,2,2,1,1,1,1,2,1,2,0,2,4,4,1,0,2,8,5,4,6,2,0,3,4,5,4,4,3,6,3,1,3,2,4
SEM TARJA,108,SCHERING-PLOUGH               ,236080,CLARITIN - 10MG CX 6 COMP,7891142129178,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,3,5,1,0,0,0,0,0,1,0,1,3,2,2,0,2,1,2,0,0,2,1,2,3,3,0,1,0,1,0,0,3,3,2,1,3,4,0,0,2,0,1,2
TARJADO,108,SCHERING-PLOUGH               ,236084,CLARITIN - D 1+12MG XPE FR 60ML,7891142129147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,10,4,0,1,1,1,1,0,1,3,6,6,2,4,1,6,5,4,2,0,3,6,9,5,6,0,5,3,3,4,2,2,3,4,7,9,15,20,6,13,15,9,11,7
GENERICOS,466,EMS GENÉRICO                    ,220642,CLARITROMICINA - 125MG SUS ORAL FR 60ML,7896004703503,0,1,1,2,0,0,0,0,0,0,0,0,0,0,2,2,2,3,9,0,3,4,2,1,1,3,0,6,5,9,3,0,0,0,0,0,1,0,1,0,3,3,8,3,9,2,4,3,1,6,6,6,12,27,24,24,2,3,6,0,7
GENERICOS,466,EMS GENÉRICO                    ,220643,CLARITROMICINA - 250MG SUS ORAL FR 60ML,7896004703497,0,3,0,0,0,0,8,0,0,0,0,0,0,2,1,7,0,12,8,6,8,7,7,10,5,3,1,5,11,20,16,11,0,0,3,3,1,3,2,11,8,9,7,3,6,3,8,2,1,12,30,54,90,63,57,9,7,8,0,0,0
GENERICOS,466,EMS GENÉRICO                    ,212491,CLARITROMICINA - 500MG CX 14 COMP,7896004700991,3,4,2,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,9,21,0,1,0,0,0
GENERICOS,314,MEDLEY                        ,210828,CLARITROMICINA - 500MG CX 14 COMP,7896422503617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,1,0,0,2,1,0,0,0,1,0,1,0,0,0,1,1,2,0,1,1,2,0,1,1,4,0,0,6,3,0,3,0,3,6,2,1,0,0,1
TARJADO,8,ALCON                         ,214772,"CLAROFT - 0,12MG SOL OFT GTS FR 15ML",7896548133613,2,3,1,1,2,0,2,1,0,1,1,1,0,4,0,1,2,1,0,1,2,3,2,2,2,4,2,1,0,0,0,0,1,1,0,0,4,0,2,2,5,2,1,3,1,0,0,0,2,1,4,3,2,3,0,2,2,1,3,1,1
TARJADO,317,ALLERGAN                      ,22101,CLARVISOL - SOL OCULUM FR 15ML+1COMP,7897316801291,0,1,2,0,2,1,1,2,0,2,1,2,0,6,5,3,3,4,4,2,3,3,2,3,0,8,6,6,5,5,4,8,5,8,7,3,5,8,5,9,8,5,9,4,7,6,6,6,2,8,7,8,6,9,8,10,7,7,8,8,5
TARJADO,163,BIOLAB SANUS                  ,227255,CLAUDIC  - 50MG 30CPR,7896112417194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,3,0,2,1,2,1,2,2,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
TARJADO,83,GLAXOSMITHKLINE               ,209428,CLAVULIN - BD 400MG SUS FR 70ML,7896015568214,4,3,5,5,3,3,4,4,3,4,4,3,1,8,8,11,5,4,7,5,5,3,2,5,6,2,11,11,10,16,13,12,10,12,11,8,11,0,1,0,1,0,3,9,15,7,4,6,7,0,4,4,0,38,26,10,1,7,4,5,0
TARJADO,83,GLAXOSMITHKLINE               ,216036,CLAVULIN - BD 875MG CX 14 COMP,7896015510022,3,2,1,3,3,0,2,2,4,4,2,2,2,9,4,5,3,3,7,10,4,3,9,5,0,6,7,7,4,9,3,13,8,8,9,9,0,0,0,0,0,0,0,0,0,2,4,4,7,0,0,0,0,0,0,0,0,0,0,0,0
TARJADO,83,GLAXOSMITHKLINE               ,216037,CLAVULIN - BD 875MG CX 20 COMP,7896015510015,1,0,2,1,1,0,1,2,1,1,0,0,1,0,1,4,0,0,1,2,3,2,1,1,3,1,2,1,3,6,4,2,4,3,3,3,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
TARJADO,83,GLAXOSMITHKLINE               ,221355,CLAVULIN - ES 600MG FR 100ML,7896015516697,1,0,0,2,2,1,1,2,2,1,0,0,0,1,0,1,0,2,0,1,2,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
TARJADO,83,GLAXOSMITHKLINE               ,237073,CLAVULIN BD - 400MG SUS FR 140ML,7896015527242,0,0,0,0,0,0,3,2,0,0,2,3,0,5,3,6,3,2,3,3,1,3,0,1,2,0,0,0,4,8,9,1,4,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TARJADO,70,CHIESI                        ,208188,CLENIL A - 400 MCG C/ 10 FLACONETES,7896672202681,19,9,0,12,28,8,44,18,26,10,10,16,8,7,9,16,21,41,27,31,34,26,19,14,22,12,10,13,30,33,34,33,39,26,32,21,15,3,5,18,6,37,22,16,19,9,15,15,11,17,10,26,27,39,35,29,20,13,20,18,8
INJETAVEL,492,SANOFI-AVENTIS                ,231667,CLEXANE - 40MG SOL INJ C/2 CX FECH,7891058003210,3,16,18,18,10,6,18,10,11,9,34,12,6,5,2,11,0,12,14,9,11,7,14,11,6,60,25,32,21,38,22,17,34,12,21,5,1,20,40,10,37,2,19,10,38,27,32,25,22,0,0,0,0,0,37,19,16,0,0,32,18
TARJADO,166,BAYER SCHERING                      ,235763,CLIANE - CALEND 28 COMP,7891106905893,1,0,1,1,1,0,1,0,2,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,3,0,1,2,1,3,3,1,0,0,0,0,0,0,0,0,0,2,2,1,2
TARJADO,260,HERBARIUM                     ,227332,CLIFEMIN - 160MG CX 30 COMP,7896083402540,0,1,1,0,2,0,0,0,0,0,0,0,1,2,5,3,0,0,0,3,0,1,0,0,1,5,4,7,2,4,2,6,2,6,4,3,3,2,3,1,2,0,1,2,3,2,2,1,2,1,0,0,0,0,2,2,0,0,0,0,0
TARJADO,21,BAYER                         ,235588,CLIMENE - 2MG+1MG CX 21 DRG,7891106905909,1,0,0,1,0,1,0,0,0,1,0,0,1,0,2,0,2,1,2,1,1,0,1,1,0,4,2,4,4,4,0,5,3,2,3,1,1,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
TARJADO,377,THERASKIN                     ,207371,CLINDACNE - GEL BG 25G,7897129300707,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,3,1,0,1,0,1,1,0,0,0,0,1,0,0,4,2,2,2,0,2,1,1,0,2,0
TARJADO,126,MERCK                         ,209517,CLINDAL AZ - 500MG CX 3 COMP REV,7891721000812,3,0,0,1,0,0,3,2,2,1,0,1,0,6,4,2,0,4,2,3,1,2,0,1,2,1,2,3,2,11,1,22,7,2,10,1,5,8,9,8,9,5,6,12,3,1,8,3,0,6,10,20,6,14,14,8,10,8,1,4,7
TARJADO,126,MERCK                         ,224209,CLINDAL AZ - 500MG CX 5 COMP REV,7891721013522,3,2,1,3,4,0,1,1,2,0,0,1,1,4,10,10,2,13,26,8,13,4,1,2,5,4,9,9,14,28,18,15,26,17,19,16,5,11,7,7,20,23,20,29,12,11,13,5,2,34,36,32,44,40,68,42,26,12,7,12,12
TARJADO,175,STIEFEL                       ,244188,CLINDOXYL - 10+50MG GEL BG 45G,7896251802646,1,1,4,0,3,1,0,4,1,0,0,0,2,3,1,1,1,3,1,2,0,0,2,0,0,2,3,3,1,7,2,3,4,4,3,1,3,1,4,3,7,1,6,8,2,3,1,1,1,0,0,0,0,0,0,0,0,0,2,3,2
TARJADO,126,MERCK                         ,211732,CLINFAR - 10MG CX 30 COMP REV,7891721003042,4,11,12,8,12,7,15,12,6,10,11,9,12,20,20,27,7,17,13,24,16,16,17,18,9,20,13,21,15,15,21,21,18,14,17,17,12,23,25,16,19,19,21,17,13,17,25,19,20,41,39,39,28,28,39,27,35,34,25,30,22
TARJADO,126,MERCK                         ,221976,CLINFAR - 20MG CX 30 COMP REV,7891721012884,6,17,12,3,7,3,17,18,7,13,9,8,13,30,31,22,4,21,37,17,27,29,24,24,17,27,21,29,30,32,20,32,30,25,29,29,21,41,54,35,24,24,29,23,28,25,32,32,25,58,47,57,58,43,39,49,48,36,45,41,39
TARJADO,126,MERCK                         ,228043,CLINFAR - 40MG CX 30 COMP REV,7891721016165,2,1,4,1,2,1,1,1,1,2,2,1,2,3,3,4,0,3,6,3,4,4,2,5,2,2,4,0,3,3,2,1,4,2,2,4,2,6,2,6,3,5,3,4,4,2,4,2,2,4,7,8,2,5,5,6,3,0,2,4,0
PSICOTROPICO,136,SIGMA PHARMA                  ,219598,CLO - 10MG CX 20 COMP,7894916503044,9,0,0,0,3,0,1,3,0,0,0,2,0,4,7,2,0,0,3,2,6,3,3,0,0,6,3,3,9,3,6,0,2,6,2,3,7,2,5,12,7,2,14,4,9,0,10,3,4,4,6,3,4,4,3,5,4,4,3,9,9
PSICOTROPICO,136,SIGMA PHARMA                  ,219599,CLO - 25MG CX 20 COMP,7894916503037,6,15,6,8,5,1,9,9,9,6,3,13,4,14,13,8,0,13,13,7,3,10,15,15,3,10,13,13,14,12,16,10,19,5,11,9,10,10,14,19,13,17,23,21,21,13,20,9,17,17,12,11,2,8,23,8,15,16,15,17,8
PSICOTROPICO,136,SIGMA PHARMA                  ,220258,CLO - 75MG CX 20 COMP,7894916503051,0,2,0,6,3,0,0,9,0,3,0,6,0,0,6,0,3,0,6,0,3,4,9,3,3,3,10,12,0,8,5,10,8,2,6,6,0,8,2,12,9,5,6,17,9,5,1,7,9,6,2,5,6,8,9,0,17,10,3,6,11
GENERICOS,99,EUROFARMA                     ,214509,"CLOBETASOL - 0,5MG CREME BG 30G",7891317008796,1,0,0,2,0,3,1,3,1,1,0,0,0,6,4,3,0,1,0,3,0,0,1,2,1,3,2,5,4,3,5,9,3,3,5,2,0,1,0,3,1,1,3,2,3,0,4,2,2,0,0,2,1,0,1,1,2,1,0,0,2
GENERICOS,314,MEDLEY                        ,213506,"CLOBETASOL - 0,5MG CREME BG 30G",7896422505369,0,1,1,4,1,1,2,2,1,1,4,1,0,2,0,3,0,2,2,3,3,1,4,3,0,7,8,6,3,6,1,6,1,2,3,6,2,6,10,8,8,8,4,10,3,2,7,5,4,6,5,3,9,5,13,6,0,16,13,9,9
GENERICOS,314,MEDLEY                        ,213507,"CLOBETASOL - 0,5MG POM BG 30G",7896422505352,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0,1,2,0,0,1,0,0,2,0,0,0,0,1,1,1,1,1,1,3,1,2,1,0,1,1,0,2,1,1,0,2,0,3,2,0,0,2,0,1,5,1,0,1,0
TARJADO,227,GALDERMA                      ,210938,"CLOB-X - 0,5MG CREME DERM BG 30G",7897930760486,8,9,15,7,8,3,3,3,1,4,2,1,1,2,0,2,0,2,2,4,2,5,11,20,11,3,2,1,1,1,1,3,2,3,2,4,0,4,0,4,0,2,0,2,3,1,3,3,0,0,1,3,2,3,3,3,0,2,3,0,1
TARJADO,227,GALDERMA                      ,211308,"CLOB-X - 0,5MG GEL BG 30G",7897930760509,2,1,0,2,0,0,0,0,1,1,0,0,0,0,0,2,0,1,1,4,1,1,2,0,1,0,2,0,1,1,0,0,0,0,0,0,1,0,1,1,2,1,2,0,2,1,0,0,1,1,3,0,0,4,0,1,0,0,3,0,0
